projectName,changeId,urlGerritReview,numberPatchSet,revisionPatchSet,refPatchSet,,,,,,,,,
acceleo,Iee72926e4fdc2597b64a3ab8746dfb988197da5e,https://git.eclipse.org/r/46536,4,033106badaf5f5e545635104dd0759cc3b2c29a9,refs/changes/36/46536/4,,,,,,,,,
acceleo,If53b1d6816684d8f2299d8155c79a608ff8827db,https://git.eclipse.org/r/41399,5,ecdbb31e0e8f26e3d2a3d6158d5798d9c57fe9db,refs/changes/99/41399/5,,,,,,,,,
acceleo,Ifa0e6bb70c68de3b2a4b5be4174dc56254ee6fd2,https://git.eclipse.org/r/75150,1,910bf0239190c253effd408eb49b6c34277a3729,refs/changes/50/75150/1,,,,,,,,,
acceleo,Ifa93d607bb3ac697aba098d0dc7c1b0560da6dac,https://git.eclipse.org/r/65897,1,95690637c77fc8a7604eacc9f0387375f448ea31,refs/changes/97/65897/1,,,,,,,,,
acceleo,Iffa4517c11c4a05731eedaede68e4a30c30e2426,https://git.eclipse.org/r/61986,1,c20e49d24b88bc2ea227807c9713d42e972a3334,refs/changes/86/61986/1,,,,,,,,,
acceleo,I384377f968e443e71a8591455dd5e1ca976c05c1,https://git.eclipse.org/r/89328,1,ee084f27a306e7be0990f8413badaf20e2340413,refs/changes/28/89328/1,,,,,,,,,
acceleo,Ibf2b05d9e0f10bb7435d03fa6ed3f0d40fc01ba2,https://git.eclipse.org/r/81110,2,c453c5141d8bdbcfadfebcf0e93dab5bba5b83b8,refs/changes/10/81110/2,,,,,,,,,
acceleo,I1eb24999725622950b680782f47c222f5c407a5d,https://git.eclipse.org/r/61137,1,6e82b9fa277734f88f76e24a06709e8cfae0e713,refs/changes/37/61137/1,,,,,,,,,
acceleo,I3b7af2eccf5a60b4fd7479ae9a28f3797fc5f1cf,https://git.eclipse.org/r/56346,1,a56f601b607d53f0f3e82591beaad13f0bf3ce9e,refs/changes/46/56346/1,,,,,,,,,
acceleo,I95d3293d532ab7e9da4f83a63a7dd20c7443f8e4,https://git.eclipse.org/r/45880,1,21b0215296303cb100a8364b31524e0cfdd0acc0,refs/changes/80/45880/1,,,,,,,,,
acceleo,I47e3b0f63aaedf4536bbe03572bd7eb0585c9ae9,https://git.eclipse.org/r/44699,1,33f4491729a0e2b87930bb63064d87cb894dfe37,refs/changes/99/44699/1,,,,,,,,,
amalgam,Ic8b7f413dda5013e1e409205cec633898b971246,https://git.eclipse.org/r/93907,2,0b4ee4505ea3ec99d58d7dc2e632ccdcd87df5ae,refs/changes/07/93907/2,,,,,,,,,
amalgam,I5da4549a30a95563315e38cc73f9bfc0ab60db86,https://git.eclipse.org/r/93906,2,1984b008771adc3ca57f78a536fe3a4b4969d576,refs/changes/06/93906/2,,,,,,,,,
amalgam,I5da4549a30a95563315e38cc73f9bfc0ab60db86,https://git.eclipse.org/r/93906,3,473cc6831729ca2aa385fa793b0f555a38d7c637,refs/changes/06/93906/3,,,,,,,,,
amalgam,If82cd4f9e21e8a2ee71aa542ee6ff739869f9bb9,https://git.eclipse.org/r/78835,2,0ee26e8a3346cfcb0b667de405c06f990a089a14,refs/changes/35/78835/2,,,,,,,,,
bpel,I46ecdb09f03d33b0f33674295153e3249491d14f,https://git.eclipse.org/r/8216,1,c51b3520eccf47ca658f4633c5125cffcbb48389,refs/changes/16/8216/1,,,,,,,,,
cbi,I672429db6756a5339f94a3e0e3f0b55bd97e3e9e,https://git.eclipse.org/r/66815,1,97559a4c02a9e03ce34d1a033c96d63b1c640ebf,refs/changes/15/66815/1,,,,,,,,,
cdt,I7391e50c0a9bf7fc712a45d1946e5a24e91c4991,https://git.eclipse.org/r/95477,13,c5ce9c3b900733b089d24fac931468d35b5505e7,refs/changes/77/95477/13,,,,,,,,,
cdt,I72324b94ce08ab762979804914adbb1982c88198,https://git.eclipse.org/r/93601,6,d35f9e1a602b86a3cf22af4aeb85c24c166b17c8,refs/changes/01/93601/6,,,,,,,,,
cdt,I04990deaef456df125d448d19372dd32c20859f6,https://git.eclipse.org/r/95285,1,f5bd93996dc46ef5384b3417aa7797991dc64943,refs/changes/85/95285/1,,,,,,,,,
cdt,I04990deaef456df125d448d19372dd32c20859f6,https://git.eclipse.org/r/95285,2,f0fcbf1654cf4243935345e3159c5908ed3cbfdf,refs/changes/85/95285/2,,,,,,,,,
cdt,I061fa28d2e0b37f6d00232ad619f23b892e13ce6,https://git.eclipse.org/r/70930,9,9e3dc508f71693fb93f124d8ae94fb9f823b52b2,refs/changes/30/70930/9,,,,,,,,,
cdt,I08c382550c6dd8a8567a66169495a9e490c35397,https://git.eclipse.org/r/88890,3,80e3ff4300eff99db65e680958ddf37d1b9a0ac0,refs/changes/90/88890/3,,,,,,,,,
cdt,I08c382550c6dd8a8567a66169495a9e490c35397,https://git.eclipse.org/r/88890,7,cab8c241e8ab74bf1427681428ead0c427fa09a5,refs/changes/90/88890/7,,,,,,,,,
cdt,I090439b6c525cae3bf054f65f67190811232d64c,https://git.eclipse.org/r/89659,1,f5a25eedc94e98bfce865ecb7c0b4a7f8076aee7,refs/changes/59/89659/1,,,,,,,,,
cdt,I15550a75206baf906285d3fc7becb491cac13ffa,https://git.eclipse.org/r/94903,1,281dd521e404cfbe67c6a2e76b5d6554964a641d,refs/changes/03/94903/1,,,,,,,,,
cdt,I16de016387131b775237b5d61639bb32107231fe,https://git.eclipse.org/r/89509,2,afe63314cd791519aff27fe068eb129ce6d98dd0,refs/changes/09/89509/2,,,,,,,,,
cdt,I1d7879f8b23329b33e2b17e8c8444d1266b9ef0a,https://git.eclipse.org/r/90633,2,f89c7bffd001d06927b8728004a825e6d1b70987,refs/changes/33/90633/2,,,,,,,,,
cdt,I1dcc9fae80d20975b00d2d356469ddda8c2d8d2b,https://git.eclipse.org/r/95675,5,3b7bc63600f6c485ad7461259bd05b86ba8bfc6c,refs/changes/75/95675/5,,,,,,,,,
cdt,I1dcc9fae80d20975b00d2d356469ddda8c2d8d2b,https://git.eclipse.org/r/95675,6,6b1f6a1e9df456683d2865c0fd5d06318ef589f1,refs/changes/75/95675/6,,,,,,,,,
cdt,I202f574772965af3a491d449b9e9a97e8c61e2b0,https://git.eclipse.org/r/89388,2,dd79f10b201c5d5339a563769fd63e3a14ea6a09,refs/changes/88/89388/2,,,,,,,,,
cdt,I20367078ff20179f0515272afee17d0986940309,https://git.eclipse.org/r/90463,2,f1a88d5c8f6fdf024ffa729f07222990b9281df3,refs/changes/63/90463/2,,,,,,,,,
cdt,I284df3ee215d9a4a9f72f3dca9aba5c16ca4b850,https://git.eclipse.org/r/89346,3,36deddd57d3a25c6043bc07578bf5cfae40a94ee,refs/changes/46/89346/3,,,,,,,,,
cdt,I2b7c86965d09898dd1cd7eeb3c3f704bb2995e20,https://git.eclipse.org/r/90266,1,2262190a32b4f6eb8dd29d1e6d116530c6b934f5,refs/changes/66/90266/1,,,,,,,,,
cdt,I2eca438be88bb0d78dae5f511fa1fde46965fa65,https://git.eclipse.org/r/90020,2,a46ac804ea1700d096ce0810cdf117875b6449c7,refs/changes/20/90020/2,,,,,,,,,
cdt,I323a78fc1bd3a43270e27be7eb21c13f5a85de9f,https://git.eclipse.org/r/95103,2,ff4c986d5d3e363fbdfbbe7dfba9a264645454d9,refs/changes/03/95103/2,,,,,,,,,
cdt,I3686e3c32cacbcbad299de333eee32241a4697a5,https://git.eclipse.org/r/89165,1,5f097fa4ed370392b88cfc54ecc96cd03f711b7c,refs/changes/65/89165/1,,,,,,,,,
cdt,I42c54b179b5dacc16f7a5e04a83ddb973ccc6dde,https://git.eclipse.org/r/93505,2,ae53760c467a7cc4f90697ac36c1f3e7e405d058,refs/changes/05/93505/2,,,,,,,,,
cdt,I4a86015c61164edf9a7840acb40b7b74a4cf8e61,https://git.eclipse.org/r/85888,2,a1a60b50c350c1f7f987a64aa828002efcdd06c8,refs/changes/88/85888/2,,,,,,,,,
cdt,I4c86e36265962781d4541aaceeb40b502248f674,https://git.eclipse.org/r/90312,3,e14cc2d3206a75b45b26d2b6a46c60248950f8fd,refs/changes/12/90312/3,,,,,,,,,
cdt,I603a89822e1fcbb1e7126150fd8e4de17fd7a141,https://git.eclipse.org/r/89369,3,132dda9cff8eb440e6b2dcff48c836a45a417bb1,refs/changes/69/89369/3,,,,,,,,,
cdt,I626811b33ed09bb07c947c1c491b2c04e282232b,https://git.eclipse.org/r/95765,2,525d8a23fb389e2b6795136b13d5bb924200feb2,refs/changes/65/95765/2,,,,,,,,,
cdt,I658b0dd8688088e203966a154e6154f1b2c851f4,https://git.eclipse.org/r/92139,2,be5adf02ed1f5770e3ceaa9383b14a2c4d0759bd,refs/changes/39/92139/2,,,,,,,,,
cdt,I7391e50c0a9bf7fc712a45d1946e5a24e91c4991,https://git.eclipse.org/r/95477,8,b5df32af10d647adbffe34c38be83918d926da18,refs/changes/77/95477/8,,,,,,,,,
cdt,I7391e50c0a9bf7fc712a45d1946e5a24e91c4991,https://git.eclipse.org/r/95477,20,0e70882865e5952d32bdf4e35b0137ef5df15170,refs/changes/77/95477/20,,,,,,,,,
cdt,I7391e50c0a9bf7fc712a45d1946e5a24e91c4991,https://git.eclipse.org/r/95477,24,29bd389e6c1f6fb6748ad4f3117b95437d96aec3,refs/changes/77/95477/24,,,,,,,,,
cdt,I773850518b265534c462b10c3ba678ac184334c3,https://git.eclipse.org/r/95641,1,dac595c7ab002f876f64681cd76e08a50337e875,refs/changes/41/95641/1,,,,,,,,,
cdt,I7cc3dfcef75fe0faf104dc7bfe11e2acd90a4748,https://git.eclipse.org/r/96703,3,66b7cfe572a7150dbd758a4cdf7795837bdf04dc,refs/changes/03/96703/3,,,,,,,,,
cdt,I8102f1ad0fd6f2fc9f83bba8606098cf8f19b893,https://git.eclipse.org/r/92511,1,b0bd43870557c4cb2daa1c0c61ea1376cea2cfc9,refs/changes/11/92511/1,,,,,,,,,
cdt,I8cf0238771dc92bd1784b9dfb35a680d078b1db6,https://git.eclipse.org/r/94361,2,b7a427ec1138090a020e8ae1ae794f89c4557e6f,refs/changes/61/94361/2,,,,,,,,,
cdt,I8d8b61edd80ae4da4c0e0eea3806b0efecb570e0,https://git.eclipse.org/r/86879,3,ded0e65e0b5811de1220c863699501fa61b47212,refs/changes/79/86879/3,,,,,,,,,
cdt,I9f37eded44ece4ae25094cf70fa7f90a706e3e69,https://git.eclipse.org/r/88596,1,01f1d98091bfa1acfe3863f93effa79fa76bf737,refs/changes/96/88596/1,,,,,,,,,
cdt,Ia52a62c2d8800e2a4f0404bc00e346decbacaa3b,https://git.eclipse.org/r/93835,1,684070770f0f55739e680fb76cd2b6158ec73985,refs/changes/35/93835/1,,,,,,,,,
cdt,Iab76315980cab8f2070cdf3ba853871b0eecf74c,https://git.eclipse.org/r/93789,1,81cb914cedaacb4c652c471f4cbd35fd4706834f,refs/changes/89/93789/1,,,,,,,,,
cdt,Iaee32f03a4fa821979fca1e1ca7b2b272bac1737,https://git.eclipse.org/r/97027,2,a5075bee6a8f6d27ea745872eb89fadb6c851910,refs/changes/27/97027/2,,,,,,,,,
cdt,Iaee32f03a4fa821979fca1e1ca7b2b272bac1737,https://git.eclipse.org/r/97027,3,2cdde372a1454b8857d24975387c601a94b36202,refs/changes/27/97027/3,,,,,,,,,
cdt,Iaee32f03a4fa821979fca1e1ca7b2b272bac1737,https://git.eclipse.org/r/97027,4,c9244d4ea546eed44246a8ebeae36604d37068b5,refs/changes/27/97027/4,,,,,,,,,
cdt,Ib8e0de13c49f715806d8c29cb4e8cf07182d5f50,https://git.eclipse.org/r/96696,1,c14d6d25a960584e88152979540981e1f2844c1e,refs/changes/96/96696/1,,,,,,,,,
